	CID	CanonicalSMILES	IUPACName	Fingerprint2D	Title
0	16129706	CC(C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)CC5=CC=CC=C5)CC(=O)N)CCCCN)NC(=O)CNC(=O)C(C)N)C(=O)O)CO)C(C)O)CC6=CC=CC=C6)O	(4R,7S,10S,13S,16S,19S,22S,25S,28S,31S,34S,37R)-19,34-bis(4-aminobutyl)-31-(2-amino-2-oxoethyl)-37-[[2-[[(2S)-2-aminopropanoyl]amino]acetyl]amino]-13,25,28-tribenzyl-10,16-bis[(1R)-1-hydroxyethyl]-7-(hydroxymethyl)-22-(1H-indol-3-ylmethyl)-6,9,12,15,18,21,24,27,30,33,36-undecaoxo-1,2-dithia-5,8,11,14,17,20,23,26,29,32,35-undecazacyclooctatriacontane-4-carboxylic acid	"AAADcfB//gBgAAAAAAAAAAAAAAAAAWAAAAAwYMGAAAAAAFgB9AAAHgQQCAAADDzl3ga+yPLJkgCo
AzX3XACCgCAxAiAI2aG4ZJgKcP7A0bGUYAhitgDYyAcdicCOgAAAAAACAAAAAAAAAAQAAAAAAAAA
AA=="	Somatostatin
1	16129681	CC(C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)CC5=CC=CC=C5)CC(=O)N)CCCCN)NC(=O)CNC(=O)C(C)N)C(=O)O)CO)C(C)O)CC6=CC=CC=C6)O	19,34-bis(4-aminobutyl)-31-(2-amino-2-oxoethyl)-37-[[2-(2-aminopropanoylamino)acetyl]amino]-13,25,28-tribenzyl-10,16-bis(1-hydroxyethyl)-7-(hydroxymethyl)-22-(1H-indol-3-ylmethyl)-6,9,12,15,18,21,24,27,30,33,36-undecaoxo-1,2-dithia-5,8,11,14,17,20,23,26,29,32,35-undecazacyclooctatriacontane-4-carboxylic acid	"AAADcfB//gBgAAAAAAAAAAAAAAAAAWAAAAAwYMGAAAAAAFgB9AAAHgQQCAAADDzl3ga+yPLJkgCo
AzX3XACCgCAxAiAI2aG4ZJgKcP7A0bGUYAhitgDYyAcdicCOgAAAAAACAAAAAAAAAAQAAAAAAAAA
AA=="	Somatostatin acetate
2	16161315	CC(C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)CC5=CC=CC=C5)CC(=O)N)CCCCN)NC(=O)CNC(=O)C(C)N)C(=O)O)CO)C(C)O)CC6=CC=CC=C6)O	(4R,7S,10S,13S,16S,19S,22S,25S,28S,31S,34S,37R)-19,34-bis(4-aminobutyl)-31-(2-amino-2-oxoethyl)-37-[[2-[[(2S)-2-aminopropanoyl]amino]acetyl]amino]-13,25,28-tribenzyl-10,16-bis(1-hydroxyethyl)-7-(hydroxymethyl)-22-(1H-indol-3-ylmethyl)-6,9,12,15,18,21,24,27,30,33,36-undecaoxo-1,2-dithia-5,8,11,14,17,20,23,26,29,32,35-undecazacyclooctatriacontane-4-carboxylic acid	"AAADcfB//gBgAAAAAAAAAAAAAAAAAWAAAAAwYMGAAAAAAFgB9AAAHgQQCAAADDzl3ga+yPLJkgCo
AzX3XACCgCAxAiAI2aG4ZJgKcP7A0bGUYAhitgDYyAcdicCOgAAAAAACAAAAAAAAAAQAAAAAAAAA
AA=="	H-Ala-Gly-Cys(1)-Lys-Asn-Phe-Phe-Trp-Lys-xiThr-Phe-xiThr-Ser-Cys(1)-OH
3	71308696	CC(C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)CC5=CC=CC=C5)CC(=O)N)CCCCN)NC(=O)CNC(=O)C(C)N)C(=O)O)CO)C(C)O)CC6=CC=CC=C6)O	(4R,10S,13S,16S,19S,22S,25S,28S,31S,34S,37R)-19,34-bis(4-aminobutyl)-31-(2-amino-2-oxoethyl)-37-[[2-[[(2S)-2-aminopropanoyl]amino]acetyl]amino]-13,25,28-tribenzyl-10,16-bis[(1R)-1-hydroxyethyl]-7-(hydroxymethyl)-22-(1H-indol-3-ylmethyl)-6,9,12,15,18,21,24,27,30,33,36-undecaoxo-1,2-dithia-5,8,11,14,17,20,23,26,29,32,35-undecazacyclooctatriacontane-4-carboxylic acid	"AAADcfB//gBgAAAAAAAAAAAAAAAAAWAAAAAwYMGAAAAAAFgB9AAAHgQQCAAADDzl3ga+yPLJkgCo
AzX3XACCgCAxAiAI2aG4ZJgKcP7A0bGUYAhitgDYyAcdicCOgAAAAAACAAAAAAAAAAQAAAAAAAAA
AA=="	H-Ala-Gly-Cys(1)-Lys-Asn-Phe-Phe-Trp-Lys-Thr-Phe-Thr-DL-Ser-Cys(1)-OH
4	44291156	CC(C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)CC5=CC=CC=C5)CC(=O)N)CCCCN)NC(=O)CNC(=O)C(C)N)C(=O)O)CO)C(C)O)CC6=CC=CC=C6)O	(4R,7S,10R,13S,16R,19S,22R,25S,28R,31S,34R,37S)-19,34-bis(4-aminobutyl)-31-(2-amino-2-oxoethyl)-37-[[2-[[(2S)-2-aminopropanoyl]amino]acetyl]amino]-13,25,28-tribenzyl-10,16-bis[(1R)-1-hydroxyethyl]-7-(hydroxymethyl)-22-(1H-indol-3-ylmethyl)-6,9,12,15,18,21,24,27,30,33,36-undecaoxo-1,2-dithia-5,8,11,14,17,20,23,26,29,32,35-undecazacyclooctatriacontane-4-carboxylic acid	"AAADcfB//gBgAAAAAAAAAAAAAAAAAWAAAAAwYMGAAAAAAFgB9AAAHgQQCAAADDzl3ga+yPLJkgCo
AzX3XACCgCAxAiAI2aG4ZJgKcP7A0bGUYAhitgDYyAcdicCOgAAAAAACAAAAAAAAAAQAAAAAAAAA
AA=="	Somatostatin-14
5	44377662	CC(C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)CC5=CC=CC=C5)CC(=O)N)CCCCN)NC(=O)CNC(=O)C(C)N)C(=O)O)CO)C(C)O)CC6=CC=CC=C6)O	(4S,7R,10S,13R,16S,19R,22S,25R,28S,31R,34S,37R)-19,34-bis(4-aminobutyl)-31-(2-amino-2-oxoethyl)-37-[[2-[[(2S)-2-aminopropanoyl]amino]acetyl]amino]-13,25,28-tribenzyl-16-(1-hydroxyethyl)-10-[(1R)-1-hydroxyethyl]-7-(hydroxymethyl)-22-(1H-indol-3-ylmethyl)-6,9,12,15,18,21,24,27,30,33,36-undecaoxo-1,2-dithia-5,8,11,14,17,20,23,26,29,32,35-undecazacyclooctatriacontane-4-carboxylic acid	"AAADcfB//gBgAAAAAAAAAAAAAAAAAWAAAAAwYMGAAAAAAFgB9AAAHgQQCAAADDzl3ga+yPLJkgCo
AzX3XACCgCAxAiAI2aG4ZJgKcP7A0bGUYAhitgDYyAcdicCOgAAAAAACAAAAAAAAAAQAAAAAAAAA
AA=="	SRIF-D-Trp8
0	73995022	CC(C)CC(C(=NC(CCC(=N)O)C(=NC(CC(=O)O)C(=NC(CCCCN)C(=O)O)O)O)O)N=C(C(CCC(=O)O)N=C(C(CC(=O)O)N=C(C(CCC(=O)O)N=C(C(C(C)O)N=C(C(CCC(=N)O)N=C(C(CCC(=N)O)N=C(C(CCC(=N)O)N=C(C(CCC(=O)O)N=C(C(CCC(=O)O)N=C(C(COP(=O)(O)O)N=C(C(CCC(=N)O)N=C(C(CC1=CC=CC=C1)N)O)O)O)O)O)O)O)O)O)O)O)O	6-amino-2-[[2-[[2-[[2-[[2-[[2-[[2-[[2-[[2-[[2-[[2-[[2-[[2-[[2-[[2-[(2-amino-1-hydroxy-3-phenylpropylidene)amino]-1,5-dihydroxy-5-iminopentylidene]amino]-1-hydroxy-3-phosphonooxypropylidene]amino]-4-carboxy-1-hydroxybutylidene]amino]-4-carboxy-1-hydroxybutylidene]amino]-1,5-dihydroxy-5-iminopentylidene]amino]-1,5-dihydroxy-5-iminopentylidene]amino]-1,5-dihydroxy-5-iminopentylidene]amino]-1,3-dihydroxybutylidene]amino]-4-carboxy-1-hydroxybutylidene]amino]-3-carboxy-1-hydroxypropylidene]amino]-4-carboxy-1-hydroxybutylidene]amino]-1-hydroxy-4-methylpentylidene]amino]-1,5-dihydroxy-5-iminopentylidene]amino]-3-carboxy-1-hydroxypropylidene]amino]hexanoic acid	"AAADcfB//gIAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAHgAQCCAADTzhmAYyCIJAAxCo
QiDyDIACAAAgAAAIiIGwAIgKMDqAkRGAYAAnkAAIiAf+7KAOAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Casein
0	90540	C(C(C(C(C(CO)O)O)O)O)O	(2R,3S,4S,5R)-hexane-1,2,3,4,5,6-hexol	"AAADccBgOAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAACBSggAIAAAAAAgAA
AAAAAAAAAAAAAAAAAAAAAAABEAIAAAAAQAAFAAABAAHAYAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	D-Iditol
0	441411	CNCC(C1=CC(=C(C=C1)O)O)O.Cl	4-[(1R)-1-hydroxy-2-(methylamino)ethyl]benzene-1,2-diol;hydrochloride	"AAADccByMAAEAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAHgAQCAAADBThmAYyBoLAAgCA
AiBCAAACAAAgIAAIiIAOiIgLNiKCkROEcAEk0BEZmAfQ8LYOIAABAAAAQABAAAIAAACAAAAAAAAA
AA=="	Epinephrine hydrochloride
0	126377	CC1=CC(=O)OC2=C1C=CC(=C2)NC(=O)C(CCCN=C(N)N)NC(=O)C(CO)NC(=O)C(CC3=CC=CC=C3)NC(=O)OC(C)(C)C	tert-butyl N-[(2S)-1-[[(2S)-1-[[(2S)-5-(diaminomethylideneamino)-1-[(4-methyl-2-oxochromen-7-yl)amino]-1-oxopentan-2-yl]amino]-3-hydroxy-1-oxopropan-2-yl]amino]-1-oxo-3-phenylpropan-2-yl]carbamate	"AAADcfB/vAAAAAAAAAAAAAAAAAAAAAAAAAAwYIAAAAAAAACBQAAAHgAQCAAADGzhmAYzzoLABgCo
AiXSfACCCAEhIgAIiIGObMkOdjbEsbueeijm9hnY6QeY2aOOCAAAAgAIAAAQAAAEABAAAAAAAAAA
AA=="	Boc-phe-ser-arg-mca
