	CID	CanonicalSMILES	IUPACName	Fingerprint2D	Title
0	6438804	CC(C(=O)NC(CCCCN)C(=O)O)NC(=O)C=CC1=CC=CO1	(2S)-6-amino-2-[[(2S)-2-[[(E)-3-(furan-2-yl)prop-2-enoyl]amino]propanoyl]amino]hexanoic acid	"AAADceB7OAAAAAAAAAAAAAAAAAAAASAAAAAAAAAAAAAAAAABgAAAHgAQCAAACCzhkAYyDILABkCI
AKnSmACCCAAkIAAIiIGOCMgOZjKEtTqWWSCk1hGYqYeYSAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Furylacryloylalanyllysine
0	96815	C1=CC=C(C=C1)C(=O)NCC(=O)NC(CCCN=C(N)N)C(=O)O	(2S)-2-[(2-benzamidoacetyl)amino]-5-(diaminomethylideneamino)pentanoic acid	"AAADceBzuAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAHgAQCAAADCjBmAQxCILAAgCo
AiHSPACCAAEkAAAIiIGIBMgKYDKAlTGUYQhklgCYiYeYmQCOAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Hippuryl-L-arginine
0	129673613	C1=CC=C(C=C1)C(=O)NCC(=O)C(CCCN=C(N)N)(C(=O)O)N	(2R)-2-amino-2-(2-benzamidoacetyl)-5-(diaminomethylideneamino)pentanoic acid	"AAADceBzuAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAHgAQCAAADIzBmAQxCILAAgCo
AqHSPACCAAEkAAAIiIGIBMgKIDaI1TGEYQhktgCIiYe8mQCOAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Hippuryl-l-arg
0	129826816	C1=CC=C(C=C1)C(=O)NCC(=O)C(CCCCN)(C(=O)O)N	(2R)-2,6-diamino-2-(2-benzamidoacetyl)hexanoic acid	"AAADceBzOAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAHgAQCAAADIzBmAQwCILAAgCI
AqHSGACCAAAkAAAIiIGIBMgKIDaI1TGEYQhktgCIiYe8yACOAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	alpha-Hippuryllysine
0	96815	C1=CC=C(C=C1)C(=O)NCC(=O)NC(CCCN=C(N)N)C(=O)O	(2S)-2-[(2-benzamidoacetyl)amino]-5-(diaminomethylideneamino)pentanoic acid	"AAADceBzuAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAHgAQCAAADCjBmAQxCILAAgCo
AiHSPACCAAEkAAAIiIGIBMgKYDKAlTGUYQhklgCYiYeYmQCOAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Hippuryl-L-arginine
1	259599	C1=CC=C(C=C1)C(=O)NCC(=O)NC(CCCN=C(N)N)C(=O)O	2-[(2-benzamidoacetyl)amino]-5-(diaminomethylideneamino)pentanoic acid	"AAADceBzuAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAHgAQCAAADCjBmAQxCILAAgCo
AiHSPACCAAEkAAAIiIGIBMgKYDKAlTGUYQhklgCYiYeYmQCOAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Hippuryl-Arg
0	6992083	CC(=O)NC(CC(=O)[O-])C(=O)NC(CCC(=O)[O-])C(=O)[O-]	(2S)-2-[[(2S)-2-acetamido-3-carboxylatopropanoyl]amino]pentanedioate	"AAADccBzPAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgAQAAAACCjBgAQCCALAAAAI
AAGQGAAAAAAAAAAAAIGIAAACQBoAgCAUAAAGFgCQAACvJgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	N-acetyl-L-aspartyl-L-glutamate
0	6992083	CC(=O)NC(CC(=O)[O-])C(=O)NC(CCC(=O)[O-])C(=O)[O-]	(2S)-2-[[(2S)-2-acetamido-3-carboxylatopropanoyl]amino]pentanedioate	"AAADccBzPAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgAQAAAACCjBgAQCCALAAAAI
AAGQGAAAAAAAAAAAAIGIAAACQBoAgCAUAAAGFgCQAACvJgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	N-acetyl-L-aspartyl-L-glutamate
0	188803	CC(=O)NC(CC(=O)O)C(=O)NC(CCC(=O)O)C(=O)O	(2S)-2-[[(2S)-2-acetamido-3-carboxypropanoyl]amino]pentanedioic acid	"AAADceBzPAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHgAQCAAACCjBgAQCCALAAgAI
AAGQGAAAAAAAAAAAAIGIAAACQBoAgCAUQAAGFgCQAACvJgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Spaglumic acid
0	9806448	CCC(C)C(C(=O)NC(CC1=CN=CN1)C(=O)N2CCCC2C(=O)NC(CC3=CC=CC=C3)C(=O)O)N	(2S)-2-[[(2S)-1-[(2S)-2-[[(2S,3S)-2-amino-3-methylpentanoyl]amino]-3-(1H-imidazol-5-yl)propanoyl]pyrrolidine-2-carbonyl]amino]-3-phenylpropanoic acid	"AAADcfB7uAAAAAAAAAAAAAAAAAAAAWLAAAAwAAAAAAAAAAABwAAAHgAQCAAADSjBngQ/mJfJkgCo
AzX3fAACgC2xEqAJ2YG4cIiKaDLA2TGUYAAslgLYyCecyaCOAAAAAAAAAAAAAAAAAAAAAAAAAAAA
AA=="	Angiotensin I/II (5-8)
